Code	Concentration	Groupes	Date	Statut	Replicats	SousGroupe
1	0,5	1	4	1	1	N
2	0,5	1	5	1	1	N
3	0,5	1	7	1	1	N
4	0,5	1	9	1	1	N
5	0,5	1	10	1	1	N
6	0,5	1	10	1	1	N
7	0,5	1	13	1	1	N
8	0,5	1	14	1	1	N
9	0,5	1	16	1	1	N
10	0,5	1	19	1	1	N
1	0,5	2	8	1	1	N
2	0,5	2	9	1	1	N
3	0,5	2	13	1	1	N
4	0,5	2	14	1	1	N
5	0,5	2	16	1	1	N
6	0,5	2	16	1	1	N
7	0,5	2	20	1	1	N
8	0,5	2	22	1	1	N
9	0,5	2	23	1	1	N
10	0,5	2	27	1	1	N
1	0,5	3	13	1	1	N
2	0,5	3	13	1	1	N
3	0,5	3	15	1	1	N
4	0,5	3	15	1	1	N
5	0,5	3	15	1	1	N
6	0,5	3	15	1	1	N
7	0,5	3	19	1	1	N
8	0,5	3	24	1	1	N
9	0,5	3	28	1	1	N
10	0,5	3	31	1	1	N
1	0,5	4	5	1	1	N
2	0,5	4	5	1	1	N
3	0,5	4	10	1	1	N
4	0,5	4	14	1	1	N
5	0,5	4	14	1	1	N
6	0,5	4	14	1	1	N
7	0,5	4	14	1	1	N
8	0,5	4	16	1	1	N
9	0,5	4	16	1	1	N
10	0,5	4	19	1	1	N
1	5	1	10	1	1	N
2	5	1	12	1	1	N
3	5	1	13	1	1	N
4	5	1	14	1	1	N
5	5	1	16	1	1	N
6	5	1	17	1	1	N
7	5	1	18	1	1	N
8	5	1	18	1	1	N
9	5	1	25	1	1	N
10	5	1	27	1	1	N
1	5	2	5	1	1	N
2	5	2	5	1	1	N
3	5	2	12	1	1	N
4	5	2	14	1	1	N
5	5	2	14	1	1	N
6	5	2	18	1	1	N
7	5	2	18	1	1	N
8	5	2	21	1	1	N
9	5	2	24	1	1	N
10	5	2	24	1	1	N
1	5	3	5	1	1	N
2	5	3	7	1	1	N
3	5	3	9	1	1	N
4	5	3	12	1	1	N
5	5	3	13	1	1	N
6	5	3	16	1	1	N
7	5	3	16	1	1	N
8	5	3	17	1	1	N
9	5	3	22	1	1	N
10	5	3	27	1	1	N
1	5	4	2	1	1	N
2	5	4	6	1	1	N
3	5	4	10	1	1	N
