Code	Concentration	Conc	Replicats	Date	Statut
1	0	0	1	2	1
2	0	0	1	2	1
3	0	0	1	2	1
4	0	0	1	2	1
5	0	0	1	2	1
6	0	0	1	3	1
7	0	0	1	3	1
8	0	0	1	3	1
9	0	0	1	4	1
10	0	0	1	4	1
1	0	0	2	2	1
2	0	0	2	2	1
3	0	0	2	2	1
4	0	0	2	2	1
5	0	0	2	2	1
6	0	0	2	2	1
7	0	0	2	2	1
8	0	0	2	2	1
9	0	0	2	2	1
10	0	0	2	3	1
1	0	0	3	2	1
2	0	0	3	2	1
3	0	0	3	2	1
4	0	0	3	2	1
5	0	0	3	2	1
6	0	0	3	2	1
7	0	0	3	2	1
8	0	0	3	2	1
9	0	0	3	3	1
10	0	0	3	3	1
1	0	0	4	2	1
2	0	0	4	2	1
3	0	0	4	2	1
4	0	0	4	2	1
5	0	0	4	2	1
6	0	0	4	3	1
7	0	0	4	3	1
8	0	0	4	3	1
9	0	0	4	3	1
10	0	0	4	3	1
1	0,5	0.5	1	4	1
2	0,5	0.5	1	5	1
3	0,5	0.5	1	7	1
4	0,5	0.5	1	9	1
5	0,5	0.5	1	10	1
6	0,5	0.5	1	10	1
7	0,5	0.5	1	13	1
8	0,5	0.5	1	14	1
9	0,5	0.5	1	16	1
10	0,5	0.5	1	19	1
1	0,5	0.5	2	8	1
2	0,5	0.5	2	9	1
3	0,5	0.5	2	13	1
4	0,5	0.5	2	14	1
5	0,5	0.5	2	16	1
6	0,5	0.5	2	16	1
7	0,5	0.5	2	20	1
8	0,5	0.5	2	22	1
9	0,5	0.5	2	23	1
10	0,5	0.5	2	27	1
1	0,5	0.5	3	13	1
2	0,5	0.5	3	13	1
3	0,5	0.5	3	15	1
4	0,5	0.5	3	15	1
5	0,5	0.5	3	15	1
6	0,5	0.5	3	15	1
7	0,5	0.5	3	19	1
8	0,5	0.5	3	24	1
9	0,5	0.5	3	28	1
10	0,5	0.5	3	31	1
1	0,5	0.5	4	5	1
2	0,5	0.5	4	5	1
3	0,5	0.5	4	10	1
4	0,5	0.5	4	14	1
5	0,5	0.5	4	14	1
6	0,5	0.5	4	14	1
7	0,5	0.5	4	14	1
8	0,5	0.5	4	16	1
9	0,5	0.5	4	16	1
10	0,5	0.5	4	19	1
1	1	1	1	2	1
2	1	1	1	5	1
3	1	1	1	9	1
4	1	1	1	10	1
5	1	1	1	11	1
6	1	1	1	15	1
7	1	1	1	15	1
8	1	1	1	18	1
9	1	1	1	19	1
10	1	1	1	20	1
1	1	1	2	2	1
2	1	1	2	6	1
3	1	1	2	15	1
4	1	1	2	15	1
5	1	1	2	15	1
6	1	1	2	18	1
7	1	1	2	20	1
8	1	1	2	20	1
9	1	1	2	21	1
10	1	1	2	29	1
1	1	1	3	7	1
2	1	1	3	9	1
3	1	1	3	14	1
4	1	1	3	15	1
5	1	1	3	17	1
6	1	1	3	18	1
7	1	1	3	20	1
8	1	1	3	22	1
9	1	1	3	24	1
10	1	1	3	24	1
1	1	1	4	6	1
2	1	1	4	12	1
3	1	1	4	13	1
4	1	1	4	14	1
5	1	1	4	14	1
6	1	1	4	17	1
7	1	1	4	17	1
8	1	1	4	18	1
9	1	1	4	19	1
10	1	1	4	20	1
1	2,5	2.5	1	6	1
2	2,5	2.5	1	8	1
3	2,5	2.5	1	9	1
4	2,5	2.5	1	9	1
5	2,5	2.5	1	11	1
6	2,5	2.5	1	12	1
7	2,5	2.5	1	14	1
8	2,5	2.5	1	16	1
9	2,5	2.5	1	20	1
10	2,5	2.5	1	20	1
1	2,5	2.5	2	2	1
2	2,5	2.5	2	6	1
3	2,5	2.5	2	7	1
4	2,5	2.5	2	10	1
5	2,5	2.5	2	11	1
6	2,5	2.5	2	15	1
7	2,5	2.5	2	15	1
8	2,5	2.5	2	16	1
9	2,5	2.5	2	19	1
10	2,5	2.5	2	19	1
1	2,5	2.5	3	2	1
2	2,5	2.5	3	4	1
3	2,5	2.5	3	10	1
4	2,5	2.5	3	12	1
5	2,5	2.5	3	15	1
6	2,5	2.5	3	18	1
7	2,5	2.5	3	18	1
8	2,5	2.5	3	20	1
9	2,5	2.5	3	20	1
10	2,5	2.5	3	25	1
1	2,5	2.5	4	4	1
2	2,5	2.5	4	6	1
3	2,5	2.5	4	8	1
4	2,5	2.5	4	8	1
5	2,5	2.5	4	12	1
6	2,5	2.5	4	13	1
7	2,5	2.5	4	13	1
8	2,5	2.5	4	15	1
9	2,5	2.5	4	16	1
10	2,5	2.5	4	16	1
1	5	5	1	10	1
2	5	5	1	12	1
3	5	5	1	13	1
4	5	5	1	14	1
5	5	5	1	16	1
6	5	5	1	17	1
7	5	5	1	18	1
8	5	5	1	18	1
9	5	5	1	25	1
10	5	5	1	27	1
1	5	5	2	5	1
2	5	5	2	5	1
3	5	5	2	12	1
4	5	5	2	14	1
5	5	5	2	14	1
6	5	5	2	18	1
7	5	5	2	18	1
8	5	5	2	21	1
9	5	5	2	24	1
10	5	5	2	24	1
1	5	5	3	5	1
2	5	5	3	7	1
3	5	5	3	9	1
4	5	5	3	12	1
5	5	5	3	13	1
6	5	5	3	16	1
7	5	5	3	16	1
8	5	5	3	17	1
9	5	5	3	22	1
10	5	5	3	27	1
1	5	5	4	2	1
2	5	5	4	6	1
3	5	5	4	10	1
4	5	5	4	10	1
5	5	5	4	14	1
6	5	5	4	15	1
7	5	5	4	16	1
8	5	5	4	20	1
9	5	5	4	25	1
10	5	5	4	25	1
